Timestamp, Exposed_ To_ Bullying ,Age, Race, Know_A_ Bully, The_Bully
11/14/2023 10:59:14,yes,10,African American,Yes,No
11/16/2023 10:15:54,yes,14,Latino,Yes,No
11/16/2023 10:17:02,yes,18,Latino,Yes,No
11/16/2023 10:17:08,No,0,African American,No,Yes
11/16/2023 10:17:37,No,0,Latino,Yes,Yes
11/16/2023 10:17:40,No,0,Latino,No,Yes
11/16/2023 10:18:10,yes,16,white,Yes,No
11/16/2023 10:18:28,yes,13,"Asian, Latino",Yes,Yes
11/16/2023 10:18:58,yes,13,Asian,Yes,No
11/16/2023 10:19:06,yes,13,Latino,Yes,No
11/16/2023 10:20:29,yes,5,Asian,Yes,No
11/16/2023 10:23:20,yes,14,Latino,No,Yes
11/16/2023 12:57:08,No,11,Asian,No,Yes
11/16/2023 13:00:06,yes,16,Asian,Yes,No
11/21/2023 11:04:31,No,0,Latino,No,Yes
11/21/2023 11:20:02,yes,13,Latino,No,No
11/21/2023 11:21:15,yes,13,Latino,No,Yes
11/21/2023 11:26:19,yes,8,Latino,No,No
11/21/2023 17:07:34,yes,17,Asian,Yes,Yes
11/21/2023 17:10:40,No,7,Asian,Yes,No
11/21/2023 17:30:09,No,17,Asian,Yes,No
11/21/2023 19:46:40,yes,9,African American,Yes,No
11/25/2023 18:29:04,yes,13,Latino,No,No
11/26/2023 19:54:05,yes,10,white,Yes,No
11/26/2023 19:55:27,No,0,Asian,No,No
11/26/2023 19:56:44,yes,5,African American,Yes,No
11/26/2023 19:57:27,No,0,white,No,Yes
11/26/2023 19:58:32,No,0,Latino,No,No
11/26/2023 19:59:13,yes,15,native American,Yes,No
11/26/2023 20:00:09,No,0,white,Yes,No
11/26/2023 20:01:48,yes,13,native American,Yes,No
11/26/2023 20:03:08,No,0,African American,Yes,No
11/26/2023 20:03:35,yes,17,white,Yes,No
11/26/2023 20:03:56,No,0,white,No,Yes
11/26/2023 20:05:07,yes,13,Asian,Yes,No
11/26/2023 20:05:41,No,0,Latino,No,Yes
11/26/2023 20:06:21,yes,10,African American,Yes,Yes
11/26/2023 20:07:22,No,14,Asian,Yes,No
11/26/2023 20:08:03,No,0,African American,Yes,Yes
11/26/2023 20:08:25,No,0,white,Yes,Yes
11/26/2023 20:09:12,yes,17,native American,Yes,No
11/26/2023 20:09:35,yes,11,native American,Yes,No
11/26/2023 20:09:53,yes,13,native American,Yes,No
11/26/2023 20:10:32,No,0,Latino,Yes,Yes
11/26/2023 20:11:23,yes,9,native American,Yes,No
11/26/2023 20:12:24,yes,10,white,Yes,Yes
11/26/2023 20:12:40,No,0,white,Yes,Yes
11/26/2023 20:12:59,No,0,African American,Yes,Yes
11/26/2023 20:13:36,yes,8,white,Yes,No
11/26/2023 20:14:05,yes,15,Latino,Yes,No
11/26/2023 20:14:24,yes,11,Asian,Yes,No
11/26/2023 20:14:46,No,0,white,No,Yes
11/26/2023 20:15:32,yes,16,Asian,Yes,No
11/26/2023 20:15:58,yes,10,African American,Yes,Yes
11/26/2023 20:16:23,yes,13,Asian,Yes,Yes
11/26/2023 20:17:08,No,0,Asian,No,Yes
11/26/2023 20:17:35,No,0,white,Yes,Yes
11/26/2023 20:18:03,No,0,native American,No,No
11/26/2023 20:18:22,yes,10,Latino,Yes,No
11/26/2023 20:18:53,No,0,African American,No,Yes
11/26/2023 20:19:59,yes,11,African American,Yes,No
11/26/2023 20:20:15,No,0,Latino,Yes,Yes
11/26/2023 20:20:40,yes,9,white,Yes,Yes
11/26/2023 20:20:59,No,0,Asian,Yes,Yes
11/26/2023 20:22:03,yes,14,white,Yes,No
11/26/2023 20:22:55,yes,12,Asian,Yes,No
11/26/2023 20:23:17,yes,14,Latino,Yes,No
11/26/2023 20:23:35,yes,13,white,Yes,Yes
11/26/2023 20:23:51,yes,15,white,Yes,Yes
11/26/2023 20:24:49,No,0,African American,Yes,Yes
11/26/2023 20:25:12,No,0,Latino,No,Yes
11/26/2023 20:26:17,yes,16,white,Yes,No
11/26/2023 20:26:43,yes,12,white,Yes,Yes
11/26/2023 20:26:58,No,0,white,No,No
11/26/2023 20:27:15,No,0,native American,Yes,No
11/26/2023 20:27:36,yes,14,Asian,Yes,No
11/26/2023 20:27:57,yes,15,Asian,Yes,Yes
11/26/2023 20:28:17,No,0,African American,No,Yes
11/26/2023 20:28:50,yes,13,African American,Yes,No
11/26/2023 20:29:20,yes,12,Asian,Yes,No
11/26/2023 20:36:31,yes,14,Latino,Yes,No
11/26/2023 21:26:02,yes,12,Latino,Yes,No
11/26/2023 21:26:53,No,0,African American,No,Yes
11/26/2023 21:28:25,yes,14,Asian,Yes,No
11/26/2023 22:25:23,No,0,Latino,No,No
11/26/2023 22:25:53,yes,11,African American,Yes,No
11/26/2023 22:26:13,No,0,African American,No,No
11/26/2023 22:26:55,yes,16,white,Yes,No
11/26/2023 22:27:23,yes,15,Asian,Yes,No
11/26/2023 22:27:53,No,0,white,No,Yes
11/26/2023 22:28:13,yes,15,native American,Yes,No
11/26/2023 22:28:43,No,0,native American,Yes,Yes
11/26/2023 22:29:16,yes,13,Asian,Yes,Yes
11/26/2023 22:29:39,yes,12,Latino,Yes,No
11/26/2023 22:29:58,No,0,white,Yes,Yes
11/26/2023 22:30:41,yes,10,African American,Yes,No
11/26/2023 22:31:03,yes,17,African American,Yes,No
11/26/2023 22:31:49,No,0,white,No,Yes
11/26/2023 22:32:18,yes,14,Asian,Yes,No
11/26/2023 22:32:36,No,0,Latino,Yes,Yes
