Date,Day_of_the_ week,App,Minutes,Category
8/29,Tuesday,YouTube,202,Entertainment
8/29,Tuesday,Istagram,53,Social Media
8/29,Tuesday,Facebook,4,Social Media
8/29,Tuesday,Dreame,21,Entertainment
8/30,Wednesday,YouTube,162,Entertainment
8/30,Wednesday,Istagram,121,Social Media
8/30,Wednesday,Facebook,30,Social Media
8/30,Wednesday,Chrome,3,Education
8/31,Thursday,YouTube,95,Entertainment
8/31,Thursday,Istagram,52,Social Media
8/31,Thursday,Facebook,49,Social Media
8/31,Thursday,Settings,8,Other
09/01,Friday,Istagram,50,Social Media
